,Title,Genres,Ratings,Director
821,The Alpines,"Drama, Horror, Mystery",5.0,Dante Aubain
822,"Paris, 13th District","Comedy, Drama, Romance",7.0,Jacques Audiard
823,Velle,"Comedy, Crime, Drama",6.4,Deven Munjal
824,Happening,Drama,7.4,Audrey Diwan
825,Mare of Easttown,"Crime, Drama, Mystery",8.1,Craig Zobel
826,A Week Away,"Drama, Family, Musical",5.7,Roman White
827,Star Wars: Visions,"Animation, Action, Adventure",5.3,Taku Kimura
828,Not Me,"Action, Crime, Thriller",9.0,Anucha Boonyawatana
829,Aspirants,Drama,9.1,Apoorv Singh Karki
830,Mare of Easttown,"Crime, Drama, Mystery",8.2,Craig Zobel
831,The Mighty Ducks: Game Changers,"Comedy, Drama, Sport",7.4,
832,You Don't Know Me,"Crime, Drama",6.8,
833,4400,"Drama, Sci-Fi",4.1,
834,Demonic,"Drama, Horror, Sci-Fi",4.3,Neill Blomkamp
835,iCarly,"Comedy, Drama, Romance",6.5,
836,Ted Lasso,"Comedy, Drama, Sport",8.5,Ezra Edelman
837,Resident Evil Village,"Action, Adventure, Drama",8.7,Morimasa Sato
838,Bad Buddy,"Comedy, Romance",8.8,
839,The Girl Before,"Drama, Romance, Thriller",6.5,
840,Bad President,"Comedy, Fantasy",4.2,Param Gill
841,Mare of Easttown,"Crime, Drama, Mystery",8.6,Craig Zobel
842,Solos,"Drama, Fantasy, Sci-Fi",5.9,
843,Freaks Out,"Adventure, Drama, Fantasy",7.0,Gabriele Mainetti
844,Ted Lasso,"Comedy, Drama, Sport",7.7,Declan Lowney
845,Sardar Ka Grandson,"Comedy, Drama, Romance",4.2,Kaashvi Nair
846,Oslo,"Drama, History, Thriller",6.6,Bartlett Sher
847,The Novice,"Drama, Sport, Thriller",6.5,Lauren Hadaway
848,Pretty Smart,"Comedy, Drama, Romance",5.8,
849,The Family Man,"Action, Comedy, Drama",9.2,Krishna D.K.
850,The Accursed,"Drama, Horror, Mystery",4.8,Kathryn Michelle
851,The Pursuit of Love,"Drama, Romance",6.7,
852,Jujutsu Kaisen,"Animation, Action, Adventure",9.5,
853,Oru Canadian Diary,Thriller,9.5,Seema Sreekumar
854,The Power,"Drama, Fantasy, Horror",5.5,Corinna Faith
855,Baggio: The Divine Ponytail,"Biography, Drama, Sport",6.1,Letizia Lamartire
856,Mr. Mayor,Comedy,6.3,
857,The Walking Dead,"Drama, Horror, Thriller",7.8,Sharat Raju
858,Succession,Drama,8.9,Mark Mylod
859,Runaway Lugaai,"Comedy, Drama",7.2,
860,Tiger,"Documentary, Biography, Sport",7.8,
861,Boruto: Naruto Next Generations,"Animation, Action, Adventure",9.8,
862,The Family Man,"Action, Comedy, Drama",8.8,Krishna D.K.
863,Cash,"Comedy, Drama",7.3,Rishab Seth
864,The Seventh Day,"Horror, Mystery",4.5,Justin P. Lange
865,Sex Education,"Comedy, Drama",8.9,Ben Taylor
866,The Devil Below,"Horror, Thriller",4.2,Bradley Parker
867,Lucifer,"Crime, Drama, Fantasy",9.2,Karen Gaviola
868,Two,"Drama, Mystery, Thriller",4.3,Mar Targarona
869,Enemy,"Action, Drama, Thriller",6.6,Anand Shankar
870,The Bezonians,"Crime, Drama, Thriller",5.8,Savvas D. Michael
871,Virkar,"Crime, Thriller",7.4,
872,Sultan,"Action, Drama",6.2,Bakkiyaraj Kannan
873,Yuvarathnaa,"Action, Drama",6.3,Santhosh Ananddram
874,Xtreme,"Action, Crime, Drama",5.8,Daniel Benmayor
875,Hello Charlie,Comedy,5.6,Pankaj Saraswat
876,Succession,Drama,9.3,Mark Mylod
877,This Is a Robbery: The World's Greatest Art Heist,"Documentary, Crime, History",6.5,
878,Raging Fire,"Action, Adventure, Crime",6.6,Benny Chan
879,Boruto: Naruto Next Generations,"Animation, Action, Adventure",9.7,
880,Naandhi,"Crime, Drama, Thriller",8.0,Vijay Kanakamedala
881,"Love, Life & Pakodi",Romance,6.1,Jayanth Gali
882,22 vs. Earth,"Animation, Short, Adventure",6.4,Kevin Nolting
883,One Piece,"Animation, Action, Adventure",9.5,
884,Churuli,"Fantasy, Mystery, Sci-Fi",7.1,Lijo Jose Pellissery
885,Tadap,"Action, Drama, Romance",5.1,Milan Luthria
886,Vanquish,"Action, Thriller",2.8,George Gallo
887,Agent Revelation,"Action, Sci-Fi, Thriller",4.7,Derek Ting
888,Skater Girl,"Drama, Family, Sport",6.6,Manjari Makijany
889,Ted Lasso,"Comedy, Drama, Sport",8.9,Declan Lowney
890,One Piece,"Animation, Action, Adventure",9.3,
891,Grudge,"Crime, Drama, Mystery",5.5,Turkan Derya
892,Money Heist,"Action, Crime, Drama",8.4,Koldo Serra
893,Marvel Studios: Legends,"Short, Action, Fantasy",6.5,
894,Pelé,"Documentary, Biography, Sport",7.0,Ben Nicholas
895,The Way of the Househusband,"Animation, Action, Comedy",7.3,
896,The Djinn,"Horror, Thriller",4.8,David Charbonier
897,Official Competition,"Comedy, Drama",7.2,Mariano Cohn
898,Operation Java,"Crime, Drama, Thriller",8.1,Tharun Moorthy
899,One Shot,"Action, Thriller",5.6,James Nunn
900,The Family Man,"Action, Comedy, Drama",9.3,Suparn Varma
901,Star Wars: Visions,"Animation, Action, Adventure",6.2,Hiroyuki Imaishi
902,Furioza,"Action, Crime, Drama",6.2,Cyprian T. Olencki
903,Why Did You Kill Me?,"Documentary, Crime",5.6,Fredrick Munk
904,Recalled,"Drama, Mystery, Thriller",6.7,You-min Seo
905,Here Today,"Comedy, Drama",6.6,Billy Crystal
906,Euphoria,Drama,8.5,Sam Levinson
907,Bidurbhai,Comedy,7.6,
908,Zone 414,"Sci-Fi, Thriller",4.9,Andrew Baird
909,Superman & Lois,"Action, Adventure, Drama",8.5,Lee Toland Krieger
910,Elves,"Drama, Fantasy, Horror",5.5,
911,Kill Plan,Thriller,4.5,Gregory Hatanaka
912,The Unlikely Murderer,"Crime, Drama",7.0,
913,See for Me,"Crime, Drama, Mystery",5.8,Randall Okita
914,Sex Education,"Comedy, Drama",8.4,Ben Taylor
915,Glória,"Drama, History, Thriller",7.9,
916,OSS 117: From Africa with Love,"Action, Comedy",5.9,Nicolas Bedos
917,Age of Samurai: Battle for Japan,"Documentary, Action, Adventure",7.4,
918,The Minimalists: Less Is Now,Documentary,5.9,Matt D'Avella
919,Black Clover,"Animation, Action, Adventure",9.8,
920,Eiffel,"Biography, Drama, History",6.2,Martin Bourboulon
921,The Family Man,"Action, Comedy, Drama",8.9,Suparn Varma
922,Gone for Good,"Crime, Drama, Mystery",6.3,
923,My Best Friend Anne Frank,Drama,6.2,Ben Sombogaart
924,86,"Animation, Action, Drama",8.2,
925,Saina,"Biography, Drama, Sport",4.3,Amole Gupte
926,The Desperate Hour,Thriller,4.7,Phillip Noyce
927,Secret Magic Control Agency,"Animation, Adventure, Comedy",6.2,Aleksey Tsitsilin
928,Only Murders in the Building,"Comedy, Crime, Drama",7.8,Jamie Babbit
929,Crime Scene: The Times Square Killer,"Documentary, Crime, History",6.5,
930,G - Zombie,Sci-Fi,7.4,Aryan Gowra
931,Cartel,"Action, Drama",7.9,
932,Star Wars: The Bad Batch,"Animation, Action, Adventure",7.4,Brad Rau
933,Uninterrupted's Top Class: The Life and Times of the Sierra Canyon Trailblazers,"Documentary, Sport",7.5,
934,Star Wars: Visions,"Animation, Action, Adventure",8.5,Kenji Kamiyama
935,The Wasteland,"Drama, Horror, Mystery",4.6,David Casademunt
936,Ted Lasso,"Comedy, Drama, Sport",8.1,Declan Lowney
937,Best Sellers,"Comedy, Drama",6.1,Lina Roessler
938,Only Murders in the Building,"Comedy, Crime, Drama",8.6,Cherien Dabis
939,Ted Lasso,"Comedy, Drama, Sport",8.6,Erica Dunton
940,The Year Earth Changed,Documentary,8.2,Tom Beard
941,Demon Slayer: Kimetsu no Yaiba,"Animation, Action, Adventure",7.9,Haruo Sotozaki
942,The Family Man,"Action, Comedy, Drama",9.3,Krishna D.K.
943,Cold Case,"Horror, Mystery, Thriller",6.0,Tanu Balak
944,Boruto: Naruto Next Generations,"Animation, Action, Adventure",9.6,
945,The God Committee,Drama,5.8,Austin Stark
946,The Laws of the Border,"Action, Adventure, Crime",6.9,Daniel Monzón
947,Money Heist,"Action, Crime, Drama",7.9,Alex Rodrigo
948,Suedi,"Comedy, Drama",6.3,Manuel Concha
949,Cobra Kai,"Action, Comedy, Drama",9.0,Steven K. Tsuchida
950,Anxious People,"Comedy, Crime, Drama",6.8,
951,Foundation,"Drama, Sci-Fi",7.1,Andrew Bernstein
952,Sensation,"Mystery, Sci-Fi, Thriller",4.0,Martin Grof
953,The Velvet Underground,"Documentary, Music",7.4,Todd Haynes
954,Kung Fu,"Action, Adventure, Drama",5.3,
955,Sex Education,"Comedy, Drama",8.5,Runyararo Mapfumo
956,Dug Days,"Animation, Short, Adventure",8.1,
957,Love Story,Romance,6.9,Sekhar Kammula
958,The Wonder Years,"Comedy, Drama, Family",5.8,
959,The Family Man,"Action, Comedy, Drama",9.0,Suparn Varma
960,Succession,Drama,9.1,Cathy Yan
961,Tunna blå linjen,"Crime, Drama",8.1,
962,Tabbar,"Drama, Thriller",8.3,
963,Implanted,"Sci-Fi, Thriller",5.2,Fabien Dufils
964,Narappa,"Action, Drama",7.9,Srikanth Addala
965,Money Heist,"Action, Crime, Drama",7.1,
966,Muddy,"Action, Thriller",7.2,Pragabhal
967,Maara,"Adventure, Drama, Mystery",7.5,Dhilip Kumar
968,Sex Education,"Comedy, Drama",8.7,Ben Taylor
969,Joker,"Comedy, Reality-TV",6.4,
970,Uppena,"Action, Drama, Romance",6.5,Buchi Babu Sana
971,Born a Champion,"Action, Drama, Sport",6.8,Alex Ranarivelo
972,Black Clover,"Animation, Action, Adventure",9.7,
973,Succession,Drama,8.9,Lorene Scafaria
974,The Family Man,"Action, Comedy, Drama",8.9,Suparn Varma
975,400 Bullets,Action,4.4,Tom Paton
976,Konusanlar,"Comedy, Talk-Show",6.0,
977,Lucifer,"Crime, Drama, Fantasy",9.2,Ildy Modrovich
978,Big Shot,"Comedy, Drama, Sport",7.5,
979,We Are Lady Parts,"Comedy, Music",8.1,
980,The Cook of Castamar,"Drama, Romance",7.4,
981,Fortress,Action,3.4,James Cullen Bressack
982,The Family Man,"Action, Comedy, Drama",9.0,Suparn Varma
983,Sijipeuseu: The Myth,"Action, Drama, Fantasy",7.0,
984,Happily,"Comedy, Crime, Romance",5.3,BenDavid Grabinski
985,The Mysterious Benedict Society,"Action, Adventure, Comedy",7.6,
986,Demon Slayer: Kimetsu no Yaiba,"Animation, Action, Adventure",9.7,Haruo Sotozaki
987,Trese,"Animation, Action, Adventure",7.0,
988,Bunty Aur Babli 2,"Comedy, Romance",4.0,Varun V. Sharma
989,Together,"Comedy, Drama, Romance",6.2,Stephen Daldry
990,Ratnan Prapancha,"Comedy, Drama, Family",8.5,Rohith Padaki
991,One Piece,"Animation, Action, Adventure",9.0,
992,Maya and the Three,"Animation, Action, Adventure",8.1,
993,Unstoppable with NBK,"Reality-TV, Talk-Show",9.2,
994,Kaanekkaane,"Drama, Thriller",7.9,Manu Ashokan
995,Grace,"Crime, Drama, Mystery",7.2,
996,Attack of the Hollywood Cliches!,"Documentary, Comedy",6.1,Sean Doherty
997,Money Heist,"Action, Crime, Drama",7.8,Albert Pintó
998,Great Freedom,Drama,7.5,Sebastian Meise
999,The Cleaner,Comedy,7.0,
1000,Cobra Kai,"Action, Comedy, Drama",9.3,Josh Heald
1001,Lair,"Horror, Thriller",5.5,Adam Ethan Crow
1002,Ted Lasso,"Comedy, Drama, Sport",7.7,Matt Lipsey
1003,Sex Education,"Comedy, Drama",8.7,Runyararo Mapfumo
1004,Lupin,"Action, Crime, Drama",7.8,Louis Leterrier
1005,Home Economics,Comedy,6.6,
1006,Showtrial,"Crime, Drama, Mystery",7.4,
1007,Midnight Mass,"Drama, Fantasy, Horror",7.3,Mike Flanagan
1008,Dear Future Children,Documentary,8.6,Franz Böhm
1009,Once Upon a Time in Iran,"Drama, History, Romance",7.6,
1010,American Night,"Action, Crime, Drama",4.4,Alessio Della Valle
1011,Fantasy Island,"Adventure, Drama, Fantasy",6.0,
1012,The Great North,"Animation, Comedy",6.5,
1013,Succession,Drama,9.0,Kevin Bray
1014,Succession,Drama,8.7,Mark Mylod
1015,Odd Taxi,"Animation, Comedy, Crime",8.5,
1016,Kala,"Action, Thriller",6.7,Rohith V.S.
1017,My Little Pony: A New Generation,"Animation, Adventure, Comedy",6.8,Robert Cullen
1018,"The Good, the Bart, and the Loki","Animation, Short, Action",6.1,David Silverman
1019,Midnight Mass,"Drama, Fantasy, Horror",8.6,Mike Flanagan
1020,Nobody Sleeps in the Woods Tonight 2,"Comedy, Horror, Thriller",3.9,Bartosz M. Kowalski
1021,The Burning Sea,"Action, Drama, Thriller",6.3,John Andreas Andersen
1022,Spirit Untamed,"Animation, Adventure, Comedy",5.5,Elaine Bogan
1023,Doctor Who,"Adventure, Drama, Sci-Fi",6.7,Jamie Magnus Stone
1024,LuLaRich,Documentary,7.5,
1025,The Box,"Drama, Music, Musical",6.5,Yang Jeong-Woong
1026,Turner & Hooch,"Comedy, Crime, Drama",6.5,
1027,Rebel,"Crime, Drama",7.1,
1028,My True Fairytale,"Drama, Mystery, Thriller",6.3,D. Mitry
1029,FBI: International,"Action, Adventure, Crime",6.3,
1030,Ted Lasso,"Comedy, Drama, Sport",8.3,M.J. Delaney
1031,Survive the Game,"Action, Thriller",3.2,James Cullen Bressack
1032,A House on the Bayou,"Horror, Mystery, Thriller",5.5,Alex McAulay
1033,Lucifer,"Crime, Drama, Fantasy",8.2,Greg Beeman
1034,Domina,"Drama, History",7.0,
1035,Doom at Your Service,"Drama, Fantasy, Romance",8.0,
1036,Safer at Home,"Crime, Drama, Thriller",4.0,Will Wernick
1037,Hellbender,Horror,5.8,John Adams
1038,Power Book III: Raising Kanan,"Crime, Drama",7.4,
1039,Shark Tank India,Reality-TV,8.9,
1040,My Hero Academia: World Heroes' Mission,"Animation, Action, Adventure",7.1,Kenji Nagasaki
1041,One Piece,"Animation, Action, Adventure",9.3,
1042,Sex Education,"Comedy, Drama",8.2,Ben Taylor
1043,Monsters Inside: The 24 Faces of Billy Milligan,"Documentary, Crime",6.2,
1044,Lead Me Home,"Short, Documentary",6.3,Pedro Kos
1045,BMF,"Biography, Crime, Drama",7.2,
1046,Navarasa,Drama,5.8,
1047,Cobra Kai,"Action, Comedy, Drama",8.0,Jon Hurwitz
1048,Indori Ishq,"Comedy, Drama, Romance",7.0,
1049,Midnight,"Crime, Thriller",6.4,Oh-Seung Kwon
1050,Plan B,Comedy,6.7,Natalie Morales
1051,Star Wars: The Bad Batch,"Animation, Action, Adventure",7.7,Brad Rau
1052,Annika,"Crime, Drama, Mystery",6.9,
1053,The Father Who Moves Mountains,"Drama, Thriller",5.5,Daniel Sandu
1054,Only Murders in the Building,"Comedy, Crime, Drama",7.8,Jamie Babbit
1055,Dial 100,"Action, Thriller",5.9,Renzil D'Silva
1056,Netrikann,"Crime, Drama, Mystery",5.9,Milind Rau
1057,Cypher,"Action, Crime, Drama",5.7,
1058,Country Comfort,"Comedy, Drama, Family",6.8,
1059,Boruto: Naruto Next Generations,"Animation, Action, Adventure",9.5,
1060,You,"Crime, Drama, Romance",8.7,Silver Tree
1061,Cobra Kai,"Action, Comedy, Drama",8.7,Josh Heald
1062,Small Engine Repair,"Comedy, Drama, Thriller",6.5,John Pollono
1063,Jakob's Wife,Horror,5.5,Travis Stevens
1064,Acapulco,Comedy,7.4,
1065,The Expanse,"Drama, Mystery, Sci-Fi",8.6,Breck Eisner
1066,Girls5eva,"Comedy, Music",7.2,
1067,Madame Claude,"Biography, Crime, Drama",5.4,Sylvie Verheyde
1068,Friendzone,"Comedy, Romance",5.9,Charles Van Tieghem
1069,Mixtape,"Comedy, Drama, Family",6.6,Valerie Weiss
1070,Roberrt,"Action, Comedy, Musical",6.0,Tarun Sudhir
1071,Midnight Mass,"Drama, Fantasy, Horror",7.7,Mike Flanagan
1072,Memories of a Murderer: The Nilsen Tapes,"Documentary, Biography, Crime",6.3,Michael Harte
1073,Hiccups and Hookups,"Comedy, Drama",8.4,
1074,One Piece,"Animation, Action, Adventure",8.2,
1075,Midnight Mass,"Drama, Fantasy, Horror",8.0,Mike Flanagan
1076,Star Trek: Discovery,"Action, Adventure, Drama",6.4,Olatunde Osunsanmi
1077,Kaamelott: First Installment,"Adventure, Comedy, Fantasy",6.2,Alexandre Astier
1078,Untold: Crimes and Penalties,"Documentary, Crime, Sport",7.4,Chapman Way
1079,Catching Killers,"Documentary, Crime, Mystery",7.1,
1080,Brooklyn Nine-Nine,"Comedy, Crime",9.5,Claire Scanlon
1081,Cobra Kai,"Action, Comedy, Drama",8.5,Lin Oeding
1082,Sex Education,"Comedy, Drama",8.1,Runyararo Mapfumo
1083,Sabka Sai,"Biography, Drama",9.4,
1084,Midnight Mass,"Drama, Fantasy, Horror",8.1,Mike Flanagan
1085,Post Mortem: No One Dies in Skarnes,"Comedy, Drama, Thriller",7.1,
1086,The Whole Truth,"Drama, Horror, Mystery",5.2,Wisit Sasanatieng
1087,The 8th Night,"Horror, Thriller",5.3,Kim Tae-hyung
1088,"Crack: Cocaine, Corruption & Conspiracy","Documentary, Crime, History",6.7,Stanley Nelson
1089,Star Wars: Visions,"Animation, Action, Adventure",7.9,Masahiko Ôtsuka
1090,Kaadan,"Action, Drama, Fantasy",7.9,Prabu Solomon
1091,More the Merrier,Comedy,5.4,Paco Caballero
1092,Sex Education,"Comedy, Drama",7.9,Runyararo Mapfumo
1093,One Piece,"Animation, Action, Adventure",9.2,
1094,American Horror Stories,"Drama, Horror, Mystery",6.4,Loni Peristere
1095,Only Murders in the Building,"Comedy, Crime, Drama",7.9,Gillian Robespierre
1096,One Piece,"Animation, Action, Adventure",9.3,
1097,Cobra Kai,"Action, Comedy, Drama",8.2,Jon Hurwitz
1098,Succession,Drama,8.5,Shari Springer Berman
1099,One Piece,"Animation, Action, Adventure",9.1,
1100,Midnight Mass,"Drama, Fantasy, Horror",8.6,Mike Flanagan
1101,SK8 the Infinity,"Animation, Adventure, Comedy",8.0,
1102,The Handmaid's Tale,"Drama, Thriller",8.7,Liz Garbus
1103,Most Eligible Bachelor,"Drama, Romance",6.1,Bommarillu Baskar
1104,Gaali Sampath,Drama,6.8,Aneesh Krishna
1105,Lucifer,"Crime, Drama, Fantasy",8.3,Nathan Hope
1106,Ramyug,"Short, Action, Drama",6.0,
1107,American Horror Story,"Drama, Horror, Sci-Fi",4.8,John J. Gray
1108,Life in Colour,Documentary,8.2,
1109,Republic,"Action, Drama, Thriller",8.0,Deva Katta
1110,Star Wars: The Bad Batch,"Animation, Action, Adventure",8.8,Brad Rau
1111,Helmet,"Comedy, Drama",6.5,Satram Ramani
1112,Foundation,"Drama, Sci-Fi",6.7,Alex Graves
1113,Shadow and Bone,"Action, Adventure, Drama",7.6,Lee Toland Krieger
1114,Succession,Drama,8.3,Andrij Parekh
1115,Doctor Who,"Adventure, Drama, Sci-Fi",5.9,Lee Haven Jones
1116,The Handmaid's Tale,"Drama, Thriller",8.5,Elisabeth Moss
1117,Harlem,Comedy,6.8,
1118,Bhoomi,"Action, Drama",4.7,Lakshman
1119,Lucifer,"Crime, Drama, Fantasy",8.9,Kevin Alejandro
1120,Seance,"Horror, Mystery",5.2,Simon Barrett
1121,Psych 3: This Is Gus,"Comedy, Crime, Mystery",7.6,Steve Franks
1122,Jujutsu Kaisen,"Animation, Action, Adventure",9.4,
1123,South Wind 2: Speed Up,"Crime, Drama, Thriller",6.4,Milos Avramovic
1124,The Crime of the Century,"Documentary, Crime",8.1,
1125,Lift,"Drama, Horror, Mystery",6.7,Vineeth
1126,Demon Slayer: Kimetsu no Yaiba,"Animation, Action, Adventure",7.5,Haruo Sotozaki
1127,The Pact,"Drama, Mystery, Thriller",6.8,
1128,Too Close,"Crime, Drama, Mystery",6.8,
1129,The Grandmother,Horror,5.9,Paco Plaza
1130,Demon Slayer: Kimetsu no Yaiba,"Animation, Action, Adventure",8.3,Haruo Sotozaki
1131,Cobra Kai,"Action, Comedy, Drama",7.9,Lin Oeding
1132,Operation Hyacinth,"Crime, Drama",6.7,Piotr Domalewski
1133,Nezha Reborn,"Animation, Action, Fantasy",6.8,Ji Zhao
1134,MacGruber,"Action, Comedy",7.1,
1135,Star Wars: The Bad Batch,"Animation, Action, Adventure",7.5,Brad Rau
1136,Star Wars: The Bad Batch,"Animation, Action, Adventure",8.4,Saul Ruiz
1137,Squared Love,"Comedy, Romance",5.1,Filip Zylber
1138,One Piece,"Animation, Action, Adventure",9.2,
1139,The Girl from Oslo,"Drama, Thriller",6.3,
1140,Marvel's Guardians of the Galaxy,"Action, Adventure, Comedy",8.8,Jean-François Dugas
1141,Lost Illusions,"Drama, History, Romance",7.4,Xavier Giannoli
1142,Midnight Mass,"Drama, Fantasy, Horror",8.0,Mike Flanagan
1143,The Girl Who Killed Her Parents,"Crime, Drama, Thriller",5.9,Mauricio Eça
1144,Leonardo,"Biography, Drama, History",7.2,
1145,One Piece,"Animation, Action, Adventure",9.3,
1146,Le bal des folles,"Drama, Thriller",6.6,Mélanie Laurent
1147,South Park,"Animation, Comedy",7.5,Trey Parker
1148,WeWork: Or the Making and Breaking of a $47 Billion Unicorn,Documentary,6.6,Jed Rothstein
1149,Sundown,Drama,6.5,Michel Franco
1150,"Don't Toy with Me, Miss Nagatoro","Animation, Comedy, Romance",7.3,
1151,Seobok,"Action, Sci-Fi, Thriller",6.1,Lee Yong-ju
1152,Only Murders in the Building,"Comedy, Crime, Drama",8.2,Gillian Robespierre
1153,Cobra Kai,"Action, Comedy, Drama",8.3,Jennifer Celotta
1154,Four Hours at the Capitol,Documentary,7.3,Jamie Roberts
1155,Star Wars: Visions,"Animation, Action, Adventure",6.1,Abel Gongora
1156,Irul,"Mystery, Thriller",5.8,Naseef Yusuf Izuddin
1157,Cobra Kai,"Action, Comedy, Drama",8.4,Steven K. Tsuchida
1158,An Astrological Guide for Broken Hearts,"Comedy, Romance",7.1,
1159,Rudra Thandavam,"Action, Drama",5.7,Mohan G.
1160,Ascension,Documentary,7.0,Jessica Kingdon
1161,One Small Story,"Comedy, Drama",7.0,Karthik Rapolu
1162,American Horror Story,"Drama, Horror, Sci-Fi",8.0,John J. Gray
1163,Tuck Jagadish,"Action, Drama",5.7,Shiva Nirvana
1164,Lucifer,"Crime, Drama, Fantasy",7.1,Claudia Yarmy
1165,Beyond Evil,"Drama, Mystery, Thriller",8.1,
1166,Body Brokers,Thriller,6.2,John Swab
1167,1883,"Drama, Western",8.7,Taylor Sheridan
1168,Bling Empire,Reality-TV,5.8,
1169,One Piece,"Animation, Action, Adventure",9.4,
1170,Dalgliesh,"Crime, Drama, Mystery",7.4,
1171,Dracula,"Comedy, Drama",9.0,Mehran Modiri
1172,Star Trek: Discovery,"Action, Adventure, Drama",5.7,Olatunde Osunsanmi
1173,On the Verge,Comedy,6.4,
1174,Donny's Bar Mitzvah,"Comedy, Drama",6.9,Jonathan Kaufman
1175,Kadaisi Vivasayi,"Comedy, Drama",8.9,M. Manikandan
1176,Redo of Healer,"Animation, Action, Adventure",6.3,
1177,Demon Slayer: Kimetsu no Yaiba,"Animation, Action, Adventure",7.9,Haruo Sotozaki
1178,Hoodman,"Crime, Horror, Thriller",4.5,Mark W. Curran
1179,Teddy,"Action, Adventure, Fantasy",6.4,Shakti Soundar Rajan
1180,Lupin,"Action, Crime, Drama",7.7,Louis Leterrier
1181,Judy Justice,"Short, Crime, Drama",6.9,
1182,Photocopier,"Crime, Drama, Mystery",6.7,Wregas Bhanuteja
1183,You,"Crime, Drama, Romance",6.9,John Scott
1184,American Horror Stories,"Drama, Horror, Mystery",5.7,Eduardo Sánchez
1185,The Advent Calendar,"Horror, Thriller",6.3,Patrick Ridremont
1186,Vivy: Fluorite Eye's Song,"Animation, Action, Adventure",8.1,
1187,Cobra Kai,"Action, Comedy, Drama",8.2,Jennifer Celotta
1188,Young Rock,Comedy,8.8,Jeffrey Walker
1189,Kid 90,"Documentary, Biography, History",6.8,Soleil Moon Frye
1190,Separation,Horror,4.7,William Brent Bell
1191,Castlevania,"Animation, Action, Adventure",9.7,Sam Deats
1192,Only Murders in the Building,"Comedy, Crime, Drama",7.4,Don Scardino
1193,B.A. Pass 3,"Drama, Romance",7.4,Narendra Singh
1194,Girgit,"Crime, Mystery, Thriller",5.6,
1195,Star Wars: The Bad Batch,"Animation, Action, Adventure",7.2,Brad Rau
1196,Yargi,Drama,8.5,
1197,You,"Crime, Drama, Romance",7.9,Silver Tree
1198,Thittam Irandu,"Crime, Drama, Mystery",7.1,Vignesh Karthick
1199,The Battle at Lake Changjin,"Action, Drama, History",5.3,Kaige Chen
1200,Barbaros: Sword of the Mediterranean,"Action, Adventure, History",7.6,
1201,Dracula,"Comedy, Drama",8.9,Mehran Modiri
1202,Shadow and Bone,"Action, Adventure, Drama",7.6,Lee Toland Krieger
1203,One Piece,"Animation, Action, Adventure",8.9,
1204,Shadow and Bone,"Action, Adventure, Drama",8.4,Mairzee Almas
1205,Professor T,"Crime, Drama, Mystery",6.9,
1206,Black Island,"Drama, Mystery, Thriller",5.2,Miguel Alexandre
1207,Lucifer,"Crime, Drama, Fantasy",8.3,Bola Ogun
1208,Networker Baire,"Adventure, Drama, Romance",7.9,Mizanur Rahman Siyam
1209,Jan.E.Man,Comedy,7.8,Chidambaram
1210,The King's Affection,"Drama, Romance",7.9,
1211,The Frog,"Crime, Drama, Mystery",8.2,Houman Seyyedi
1212,Batwoman,"Action, Adventure, Crime",4.8,Holly Dale
1213,Homunculus,"Drama, Fantasy, Mystery",5.5,Takashi Shimizu
1214,Demon Slayer: Kimetsu no Yaiba,"Animation, Action, Adventure",9.4,Haruo Sotozaki
1215,Dracula,"Comedy, Drama",9.1,Mehran Modiri
1216,Lupin,"Action, Crime, Drama",7.5,Louis Leterrier
1217,Angela Black,Drama,6.3,
1218,Mosagallu,"Crime, Drama, Thriller",5.2,Jeffrey Gee Chin
1219,Star Wars: The Bad Batch,"Animation, Action, Adventure",8.3,Brad Rau
1220,The Resort,Horror,3.1,Taylor Chien
1221,Deceit,"Biography, Crime, Drama",6.8,
1222,Only Murders in the Building,"Comedy, Crime, Drama",7.8,Don Scardino
1223,Doctor Who,"Adventure, Drama, Sci-Fi",7.1,Jamie Magnus Stone
1224,Clairevoyant,"Comedy, Drama",5.8,Arthur De Larroche
1225,The Boy Who Killed My Parents,"Crime, Drama, Thriller",6.1,Mauricio Eça
1226,One Piece,"Animation, Action, Adventure",9.1,
1227,Coyote,"Crime, Drama, Thriller",6.8,
1228,One Piece,"Animation, Action, Adventure",8.6,
1229,Cocaine Cowboys: The Kings of Miami,"Documentary, Crime, History",7.1,
1230,The Exorcism of God,"Drama, Horror",5.3,Alejandro Hidalgo
1231,The Tower,"Drama, Mystery",6.5,
1232,Ögrenci Evi,"Comedy, Drama, Romance",6.0,
1233,You Are Not My Mother,"Drama, Horror",5.8,Kate Dolan
1234,Ted K,"Biography, Crime, Drama",6.0,Tony Stone
1235,Lupin,"Action, Crime, Drama",7.6,Marcela Said
1236,30 Rojullo Preminchadam Ela?,"Fantasy, Romance",7.4,Munna
1237,A Writer's Odyssey,"Action, Adventure, Fantasy",6.2,Yang Lu
1238,Lupin,"Action, Crime, Drama",7.5,Marcela Said
1239,Vitthal Teedi,Drama,9.1,
1240,Cobra Kai,"Action, Comedy, Drama",8.9,Josh Heald
1241,Breaking Boundaries: The Science of Our Planet,Documentary,7.8,Jonathan Clay
1242,Lucifer,"Crime, Drama, Fantasy",7.6,Kevin Alejandro
1243,Star Trek: Prodigy,"Animation, Action, Adventure",6.9,
1244,One Piece,"Animation, Action, Adventure",8.9,
