,Title,Genres,Ratings,Director
9296,The French Dispatch,"Comedy, Drama, Romance",7.2,Wes Anderson
9297,Old,"Drama, Horror, Mystery",5.8,M. Night Shyamalan
9298,Spider-Man: No Way Home,"Action, Adventure, Fantasy",8.3,Jon Watts
9299,Dune,"Action, Adventure, Drama",8.0,Denis Villeneuve
9300,Don't Look Up,"Comedy, Drama, Sci-Fi",7.2,Adam McKay
9301,Squid Game,"Action, Drama, Mystery",8.0,
9302,Zack Snyder's Justice League,"Action, Adventure, Fantasy",8.0,Zack Snyder
9303,No Time to Die,"Action, Adventure, Thriller",7.3,Cary Joji Fukunaga
9304,Shang-Chi and the Legend of the Ten Rings,"Action, Adventure, Fantasy",7.4,Destin Daniel Cretton
9305,Black Widow,"Action, Adventure, Sci-Fi",6.7,Cate Shortland
9306,Free Guy,"Action, Adventure, Comedy",7.1,Shawn Levy
9307,The Suicide Squad,"Action, Adventure, Comedy",7.2,James Gunn
9308,Eternals,"Action, Adventure, Fantasy",6.3,Chloé Zhao
9309,WandaVision,"Action, Comedy, Drama",7.9,
9310,Loki,"Action, Adventure, Fantasy",8.2,
9311,Aspirants,Drama,9.2,
9312,Red Notice,"Action, Comedy, Thriller",6.3,Rawson Marshall Thurber
9313,The Matrix Resurrections,"Action, Sci-Fi",5.7,Lana Wachowski
9314,Nobody,"Action, Crime, Drama",7.4,Ilya Naishuller
9315,Cruella,"Adventure, Comedy, Crime",7.3,Craig Gillespie
9316,Venom: Let There Be Carnage,"Action, Adventure, Sci-Fi",5.9,Andy Serkis
9317,Encanto,"Animation, Comedy, Family",7.2,Jared Bush
9318,The Falcon and the Winter Soldier,"Action, Adventure, Drama",7.2,
9319,Godzilla vs. Kong,"Action, Sci-Fi, Thriller",6.3,Adam Wingard
9320,The Tomorrow War,"Action, Adventure, Drama",6.5,Chris McKay
9321,Jai Bhim,"Crime, Drama, Mystery",8.9,T.J. Gnanavel
9322,Arcane,"Animation, Action, Adventure",9.0,
9323,Jungle Cruise,"Action, Adventure, Comedy",6.6,Jaume Collet-Serra
9324,Radhe,"Action, Crime, Thriller",1.9,Prabhu Deva
9325,Army of the Dead,"Action, Crime, Horror",5.7,Zack Snyder
9326,Mortal Kombat,"Action, Adventure, Fantasy",6.1,Simon McQuoid
9327,Wrath of Man,"Action, Crime, Thriller",7.1,Guy Ritchie
9328,Hawkeye,"Action, Adventure, Crime",7.5,
9329,Ghostbusters: Afterlife,"Adventure, Comedy, Fantasy",7.1,Jason Reitman
9330,The Power of the Dog,"Drama, Romance, Western",6.8,Jane Campion
9331,Luca,"Animation, Adventure, Comedy",7.4,Enrico Casarosa
9332,Mare of Easttown,"Crime, Drama, Mystery",8.5,
9333,The Last Duel,"Action, Drama, History",7.4,Ridley Scott
9334,Raya and the Last Dragon,"Animation, Action, Adventure",7.3,Don Hall
9335,The Book of Boba Fett,"Action, Adventure, Sci-Fi",7.3,
9336,The King's Man,"Action, Adventure, Thriller",6.3,Matthew Vaughn
9337,Nightmare Alley,"Crime, Drama, Thriller",7.0,Guillermo del Toro
9338,F9: The Fast Saga,"Action, Crime, Thriller",5.2,Justin Lin
9339,Invincible,"Animation, Action, Adventure",8.7,
9340,Last Night in Soho,"Drama, Horror, Mystery",7.1,Edgar Wright
9341,CODA,"Comedy, Drama, Music",8.0,Sian Heder
9342,The Guilty,"Crime, Drama, Thriller",6.3,Antoine Fuqua
9343,Shershaah,"Action, Biography, Drama",8.4,Vishnuvardhan
9344,House of Gucci,"Biography, Crime, Drama",6.6,Ridley Scott
9345,Dhindora,"Comedy, Drama",8.8,
9346,The French Dispatch,"Comedy, Drama, Romance",7.2,Wes Anderson
9347,Old,"Drama, Horror, Mystery",5.8,M. Night Shyamalan
9348,Spider-Man: No Way Home,"Action, Adventure, Fantasy",8.3,Jon Watts
9349,Dune,"Action, Adventure, Drama",8.0,Denis Villeneuve
9350,Don't Look Up,"Comedy, Drama, Sci-Fi",7.2,Adam McKay
9351,Squid Game,"Action, Drama, Mystery",8.0,
9352,Zack Snyder's Justice League,"Action, Adventure, Fantasy",8.0,Zack Snyder
9353,No Time to Die,"Action, Adventure, Thriller",7.3,Cary Joji Fukunaga
9354,Shang-Chi and the Legend of the Ten Rings,"Action, Adventure, Fantasy",7.4,Destin Daniel Cretton
9355,Black Widow,"Action, Adventure, Sci-Fi",6.7,Cate Shortland
9356,Free Guy,"Action, Adventure, Comedy",7.1,Shawn Levy
9357,The Suicide Squad,"Action, Adventure, Comedy",7.2,James Gunn
9358,Eternals,"Action, Adventure, Fantasy",6.3,Chloé Zhao
9359,WandaVision,"Action, Comedy, Drama",7.9,
9360,Loki,"Action, Adventure, Fantasy",8.2,
9361,Aspirants,Drama,9.2,
9362,Red Notice,"Action, Comedy, Thriller",6.3,Rawson Marshall Thurber
9363,The Matrix Resurrections,"Action, Sci-Fi",5.7,Lana Wachowski
9364,Nobody,"Action, Crime, Drama",7.4,Ilya Naishuller
9365,Cruella,"Adventure, Comedy, Crime",7.3,Craig Gillespie
9366,Venom: Let There Be Carnage,"Action, Adventure, Sci-Fi",5.9,Andy Serkis
9367,Encanto,"Animation, Comedy, Family",7.2,Jared Bush
9368,The Falcon and the Winter Soldier,"Action, Adventure, Drama",7.2,
9369,Godzilla vs. Kong,"Action, Sci-Fi, Thriller",6.3,Adam Wingard
9370,The Tomorrow War,"Action, Adventure, Drama",6.5,Chris McKay
9371,Jai Bhim,"Crime, Drama, Mystery",8.9,T.J. Gnanavel
9372,Arcane,"Animation, Action, Adventure",9.0,
9373,Jungle Cruise,"Action, Adventure, Comedy",6.6,Jaume Collet-Serra
9374,Radhe,"Action, Crime, Thriller",1.9,Prabhu Deva
9375,Army of the Dead,"Action, Crime, Horror",5.7,Zack Snyder
9376,Mortal Kombat,"Action, Adventure, Fantasy",6.1,Simon McQuoid
9377,Wrath of Man,"Action, Crime, Thriller",7.1,Guy Ritchie
9378,Hawkeye,"Action, Adventure, Crime",7.5,
9379,Ghostbusters: Afterlife,"Adventure, Comedy, Fantasy",7.1,Jason Reitman
9380,The Power of the Dog,"Drama, Romance, Western",6.8,Jane Campion
